,Customer Name,Age,Name of Industry,Job title,Annual salary,Work experience,Gender,State,Category,Sub-Category,Product Name,Sales
0,Claire Gute,35-44, Buyer,Management assistant ,76650,11 - 20 years,Woman,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
1,Darrin Van Huff,45-54, Veterinary medicine,Managing veterinarian ,155000,31 - 40 years,Man,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.9399999999999
2,Sean O'Donnell,35-44,"""Government Relations"" (Lobbying) ",Assistant ,65000,5-7 years,Woman,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
3,Brosina Hoffman,25-34,Academia - STEM,Graduate research assistant,32000,2 - 4 years,Woman,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
4,Andrew Allen,25-34,Academia / Research,Project manager senior ,68500,11 - 20 years,Woman,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368000000000002
5,Irene Maddox,25-34,Academia--cell and molecular biology,post doctoral fellow,48000,5-7 years,Woman,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
6,Harold Pawlan,25-34,Academic Medicine ,Administrative Specialist,55000,8 - 10 years,Woman,California,Office Supplies,Art,Newell 322,7.28
7,Pete Kriz,35-44,Academic Press Production,Production Controller,42000,8 - 10 years,Woman,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152
8,Alejandro Grove,35-44,Academic publishing,Editor ,73000,11 - 20 years,Woman,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
9,Zuschuss Donatelli,35-44,Academic publishing ,Acquisitions editor,30000,8 - 10 years,Woman,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
10,Ken Black,35-44,Academic research,Research Project Manager,56500,11 - 20 years,Woman,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.1840000000002
11,Sandra Flanagan,25-34,Academic research (Psychology),Clinical Research Assistant II,36883,2 - 4 years,Woman,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424
12,Emily Burns,25-34,Academic research (social science),Research Specialist,45000,2 - 4 years,Woman,North Carolina,Office Supplies,Paper,Xerox 1967,15.552000000000003
13,Eric Hoffmann,25-34,Academic science,Postdoctoral associate,50000,8 - 10 years,Woman,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.97600000000006
14,Tracy Blumstein,25-34,Academic Scientific Research,Researcher III,35600,5-7 years,Woman,Texas,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.80999999999999
